Enzyme,Bag ID,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
dopa,CO25,0.003016218,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,2.027284916
dopa,QR147,-0.002630538,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,-3.092765891
dopa,AS74,-0.017306171,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,-11.11745455
h2o2,CO25,0.012608782,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,8.474715631
h2o2,QR147,0.02565269,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,30.1602809
h2o2,AS74,0.009998022,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,6.422712314
dopa,QR159,-0.009384889,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,-8.509026733
dopa,AS171,-0.016979826,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,-8.310408158
dopa,CO176,-0.025435127,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,-7.981467134
h2o2,QR159,0.00195807,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,1.775329076
h2o2,AS171,0.000899921,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,0.440446792
h2o2,CO176,0.00872231,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,2.737034997
dopa,CO96,0.00443038,CO96,4.31,3.579210526,0.166666666,0.833333334,0.2679,0.22325,125,2.48061576
dopa,AS62,0.003362342,AS62,2.37,0.232149533,0.200000002,0.799999998,0.2197,0.17576,125,2.391287674
dopa,QR188,0.009780459,QR188,4.66,3.66754491,0.111111111,0.888888889,0.2214,0.1968,125,6.212181695
h2o2,CO96,0.000534019,CO96,4.31,3.579210526,0.166666666,0.833333334,0.2679,0.22325,125,0.299002792
h2o2,QR188,-0.002007516,QR188,4.66,3.66754491,0.111111111,0.888888889,0.2214,0.1968,125,-1.275098973
