Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
CO25,phos,3.245429571,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,2181.3442
QR147,phos,1.696825722,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,1994.985347
AS74,phos,8.514164734,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,5469.484849
CO25,bglu,6.72724125,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,4521.567442
QR147,bglu,3.228282353,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,3795.543589
AS74,bglu,11.44201265,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,7350.329339
CO25,lap,0.063207325,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,42.48341534
QR147,lap,0.081585637,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,95.9215483
AS74,lap,0.080228332,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,51.53854298
CO25,nag,1.982137681,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,1332.250304
QR147,nag,0.698348609,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,821.0597137
AS74,nag,2.80055611,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,1799.072451
CO25,bxyl,0.236442819,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,158.919847
QR147,bxyl,0.096101493,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,112.9880741
AS74,bxyl,0.320384753,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,205.8146165
CO25,bcell,1.410767548,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,948.2164199
QR147,bcell,0.258298902,QR147,3.97,7.593258427,0.545454545,0.454545455,0.2339,0.106318182,125,303.6861822
AS74,bcell,2.466360041,AS74,3.97,2.8375,0.166666667,0.833333333,0.2335,0.194583333,125,1584.385468
QR159,phos,3.100934155,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,2811.53362
AS171,phos,6.448294594,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,3155.978169
CO176,phos,2.171123154,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,681.2919938
QR159,bglu,2.498777449,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,2265.574326
AS171,bglu,10.4367806,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,5108.056285
CO176,bglu,6.066010146,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,1903.495957
QR159,lap,0.196568774,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,178.2236216
AS171,lap,0.156002463,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,76.35202776
CO176,lap,0.090926836,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,28.53257087
QR159,nag,1.218418084,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,1104.706915
AS171,nag,3.842679964,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,1880.716506
CO176,nag,1.873052988,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,587.7584614
QR159,bxyl,0.055761496,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,50.55744935
AS171,bxyl,0.298244811,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,145.9694652
CO176,bxyl,0.409772195,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,128.585297
QR159,bcell,0.330668582,QR159,4.04,5.267625899,0.111111111,0.888888889,0.1551,0.137866667,125,299.808312
AS171,bcell,2.707800397,AS171,4.03,2.635897436,0,1,0.2554,0.2554,125,1325.274274
CO176,bcell,1.736509957,CO176,2.1,0.31,0.066666668,0.933333332,0.4268,0.398346666,125,544.9116642
QR115,phos,2.509661964,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,3583.183843
CO54,phos,1.248105859,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,1531.661433
AS172,phos,2.425109795,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,1454.473508
QR115,bglu,4.115781539,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,5876.33001
CO54,bglu,3.638508345,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,4465.136404
AS172,bglu,4.534808981,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,2719.777695
QR115,lap,0.054117432,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,77.26646529
CO54,lap,0.006996829,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,8.586429765
AS172,lap,0.108999916,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,65.37332497
QR115,nag,1.293414708,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,1846.680052
CO54,nag,1.20268764,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,1475.924708
AS172,nag,2.358288255,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,1414.396906
QR115,bxyl,0.183057678,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,261.3616195
CO54,bxyl,0.076357992,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,93.70566688
AS172,bxyl,0.180273798,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,108.120244
QR115,bcell,0.79750574,QR115,5.24,7.833265823,0.75,0.25,0.3502,0.08755,125,1138.643262
CO54,bcell,0.663447459,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,814.175239
AS172,bcell,1.128377089,AS172,4.25,2.990340136,0.454545454,0.545454546,0.3821,0.208418182,125,676.750631
AS66,phos,5.686680441,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,16780.80867
AS37,phos,4.366908832,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,1698.921892
QR127,phos,4.245663492,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,4371.564551
AS66,bglu,5.00455804,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,14767.93567
AS37,bglu,6.811884951,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,2650.126421
QR127,bglu,6.5964795,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,6792.091743
AS66,lap,-0.077384593,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,-228.3539698
AS37,lap,-0.098508652,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,-38.32424982
QR127,lap,-0.149064769,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,-153.4851411
AS66,nag,2.224048596,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,6562.938492
AS37,nag,1.651498103,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,642.5062648
QR127,nag,1.197419332,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,1232.927648
AS66,bxyl,0.174893846,AS66,7.1,11.77718696,0.866666667,0.133333333,0.3177,0.04236,125,516.0937374
AS37,bxyl,0.142287063,AS37,3.99,3.392397004,0,1,0.3213,0.3213,125,55.35600026
QR127,bxyl,0.071733222,QR127,4.1,7.56,0.6,0.4,0.3035,0.1214,125,73.86040159
