SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
QR1	4.6	3.07373494	0	1	0.2026	0.2026	125
QR2	4.34	4.120131148	0.166666667	0.833333333	0.3221	0.268416667	125
QR3	2.17	0.55125	0	1	0.1395	0.1395	125
QR4	2.29	1.349090909	0	1	0.2651	0.2651	125
QR5			#DIV/0!	#DIV/0!		#DIV/0!	
QR6	2.13	0.729411765	0	1	0.2034	0.2034	125
QR7	3.22	2.8209375	0.1	0.9	0.2204	0.19836	125
QR8	5.28	3.654135338	0	1	0.2876	0.2876	125
QR9	3.04	1.604545455	0	1	0.3236	0.3236	125
QR10	4.87	3.986890756	0.25	0.75	0.1971	0.147825	125
QR11	5.04	3.323660477	0.333333333	0.666666667	0.2149	0.143266667	125
QR12	1.9	0.366440678	0	1	0.4861	0.4861	125
QR13	1.99	0.218	0.083333335	0.916666665	0.2624	0.240533333	125
QR14	2.13	0.50313253	-0.1	1.1	0.1898	0.20878	125
QR15	2.44	2.52	0.166666667	0.833333333		0	125
QR16	4.24	3.775878378	0.1	0.9	0.2145	0.19305	125
QR17	4.04	3.676449275	1	0	0.2081	0	125
QR18	4	3.813712375	0.111111111	0.888888889	0.1491	0.132533333	125
QR19	3.19	1.115631579	0	1	0.3279	0.3279	125
QR20	3.02	2.439655172	0.3	0.7	0.3484	0.24388	125
QR21	2.43	0.256	0.09090909	0.90909091		0	125
QR22	2.01	1.882222222	0	1	0.2239	0.2239	125
QR23	2.06	0.655696203	0	1	0.2002	0.2002	125
QR24			#DIV/0!	#DIV/0!		#DIV/0!	125
QR25	4.01	3.668571429	0	1	0.1525	0.1525	125
QR26	2.94	2.552439024	0	1	0.2569	0.2569	125
QR27	2.96	2.176428571	0.285714285	0.714285715	0.2802	0.200142857	125
QR28	2.07	1.096708861	1	0	0.2796	0	125
QR29	2.1	0.684878049	0.25	0.75	0.3023	0.226725	125
QR30	3.44	1.167196262	0.166666667	0.833333333	0.3444	0.287	125
QR31	4.23	3.629322034	0	1	0.15099	0.15099	125
QR32	4	3.796309963	0	1	0.1936	0.1936	125
QR33	3.28	4.841909548	0.473684211	0.526315789	0.2558	0.134631579	125
QR34	3.69	1.884	0.25	0.75	0.3222	0.24165	125
QR35	2.09	0.46325	0.214285714	0.785714286	0.2125	0.166964286	125
QR36	5.28	3.752380952	0.125	0.875	0.317	0.277375	125
QR37	3.51	1.977678571	0.111111111	0.888888889	0.3282	0.291733333	125
QR38	3.1	1.59	0	1	0.2338	0.2338	125
QR39	2.82	1.353137255	0	1	0.219	0.219	125
QR40	2.01	0.446027397	0.199999999	0.800000001		0	125
QR41	3.69	3.945092251	0.307692308	0.692307692	0.1421	0.098376923	125
QR42	2.1	0.721875	0.111111111	0.888888889	0.2163	0.192266667	125
QR43	3.51	1.405227273	0	1	0.2592	0.2592	125
QR44	3.1	1.012747253	0.555555556	0.444444444	0.2785	0.123777778	125
QR45	4.02	5.171386861	0	1	0.193	0.193	125
QR46	4.21	2.1275	0	1	0.4073	0.4073	125
QR47	4.03	3.74	0	1	0.1434	0.1434	125
QR48	3.22	1.111666667	0.357142857	0.642857143	0.261	0.167785714	125
QR49	2.48	1.072916667	0.142857143	0.857142857	0.2542	0.217885714	125
QR50	2.04	1.875	0	1	0.3084	0.3084	125
QR51	3.91	3.480916031	0.111111111	0.888888889	0.18903	0.168026667	125
QR52	3.39	2.257714286	0.111111111	0.888888889	0.2309	0.205244444	125
QR53	2.62	2.06641791	0	1	0.2671	0.2671	125
QR54	4.08	3.982392857	0.375	0.625	0.17618	0.1101125	125
QR55	3.4	1.871320755	0.090909091	0.909090909	0.2381	0.216454545	125
QR56	3.18	1.278181818	0.166666667	0.833333333	0.2381	0.198416667	125
QR57	3.53	3.980533333	0	1	0.1945	0.1945	125
QR58	3.04	2.0025	0.3	0.7	0.2034	0.14238	125
QR59	4.1	3.793392857	0	1	0.2786	0.2786	125
QR60	1.72	0.474418605	0.153846154	0.846153846		0	125
QR61	4.01	3.22804428	0	1		0	125
QR62	3.02	1.249824561	0	1	0.1963	0.1963	125
QR63	5.21	3.497142857	0	1	0.2773	0.2773	125
QR64	8.47	2.648317107	0.333333333	0.666666667	0.2314	0.154266667	125
QR65	2.03	0.617808219	0.062500001	0.937499999	0.2145	0.20109375	125
QR66	3.47	4.044354839	0.1	0.9	0.2416	0.21744	125
QR67	3.59	3.704608696	0.285714286	0.714285714	0.18	0.128571429	125
QR68	3.88	1.670307692	0	1	0.211	0.211	125
QR69	4.15	3.504561404	0.5	0.5	0.2175	0.10875	125
QR70	4.24	4.335204082	0	1	0.2162	0.2162	125
QR71			#DIV/0!	#DIV/0!		#DIV/0!	125
QR72	4.49	3.58659375	0	1	0.2628	0.2628	125
QR73	2.62	1.152537313	0.428571428	0.571428572	0.2944	0.168228572	125
QR74	2.29	1.112727273	0.636363637	0.363636363	0.4191	0.1524	125
QR75	3.98	4.443333333	0.285714286	0.714285714	0.1899	0.135642857	125
QR76	4.38	4.811488673	0.416666667	0.583333333	0.214	0.124833333	125
QR77	2.23	1.962786885	0.181818182	0.818181818	0.3192	0.261163636	125
QR78	3.25	1.874587629	0.090909091	0.909090909	0.2722	0.247454545	125
QR79	2.87	1.379032258	0	1	2353	2353	125
QR80			#DIV/0!	#DIV/0!		#DIV/0!	125
QR81	3.47	4.169447005	0.017492711	0.982507289	0.2293	0.225288921	125
