Count of PropInitial,Column Labels,,,,,,,,,,,,,,,,,
,ACESAC,,,,ACESAC Total,CAROVA,,,,CAROVA Total,QUERUB,,,,QUERUB Total,(blank),(blank) Total,Grand Total
Row Labels,H0,H1,H2,H3,,H0,H1,H2,H3,,H0,H1,H2,H3,,(blank),,
1,3,1,,,4,3,1,,,4,3,1,,,4,,,12
2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
3,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
5,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
7,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
8,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
9,2,1,1,1,5,2,1,,2,5,2,1,1,1,5,,,15
10,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
11,,1,1,1,3,,1,,1,2,,1,1,1,3,,,8
12,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
13,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
14,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
15,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
16,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
17,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
18,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
19,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
20,,1,1,,2,,1,1,,2,,1,1,,2,,,6
21,1,1,,,2,1,1,,,2,1,1,,,2,,,6
22,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
23,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,,,12
24,2,1,1,,4,2,1,1,,4,2,1,1,,4,,,12
A1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
A3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
A5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
B1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
B3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
B5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
D1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
D3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
D5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
E1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
E3/4,,2,1,,3,,1,1,1,3,,1,1,1,3,,,9
E5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
G1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
G3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
G5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
H1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
H3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
H5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
I1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
I3/4,,1,1,1,3,,,1,1,2,,1,1,1,3,,,8
I6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
J1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
J3/4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,,,12
J5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
K1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
K3/4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
K5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
L1/2,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
L3/4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,,,12
L5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
P1/2,,1,1,,2,,1,1,,2,,1,1,,2,,,6
P3/4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,,,12
P5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
Q1/2,,1,2,,3,,1,1,1,3,,1,1,1,3,,,9
Q3/4,,1,1,,2,,1,1,1,3,,1,1,1,3,,,8
Q5/6,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
R1,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
R2,,1,1,,2,,1,1,,2,,1,1,,2,,,6
R4,,1,,2,3,,1,,2,3,,1,,2,3,,,9
R5,,2,,1,3,,1,1,1,3,,1,1,1,3,,,9
S1,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
S2,,1,1,,2,,,,,,,2,1,,3,,,5
S4,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
S5,,1,1,1,3,,1,1,1,3,,1,1,1,3,,,9
(blank),,,,,,,,,,,,,,,,,,
Grand Total,12,70,65,59,206,12,66,62,63,203,12,69,65,62,208,,,617
