Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
AS1,ACESAC,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.78,4.03,7.78,196,1.32,3.21,1.73,1.29,1.4,1.31,0.41,1.687724868,0.181818182,0.306859067,1.380865801,0.280347219,0.818181818,0.2493,0.203972727
AS10,ACESAC,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.1,4.05,1.04,221,1.29,2.06,1.4,1.29,1.37,1.3,0.11,0.148571429,0.125000003,0.018571429,0.13,0.02808642,0.874999997,,0
AS100,ACESAC,19-Dec-17,18-Jun-19,21-Jun-19,H3,1.5,6.81,4.11,7.31,4,0.99,2.28,1.24,1.32,1.43,1.34,0.25,1.416666667,0.181818182,0.257575758,1.159090909,0.230741389,0.818181818,0.2221,0.181718182
AS101,ACESAC,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,6.84,4.15,2.86,219,1.28,2.04,1.41,1.28,1.41,1.32,0.13,0.489210526,0.307692306,0.150526316,0.338684211,0.056499683,0.692307694,0.2019,0.139776923
AS102,ACESAC,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,6.45,4.12,0.16,38,1.29,1.43,1.34,1.31,1.36,1.35,0.05,0.057142857,0.800000007,0.045714286,0.011428571,0.000554785,0.199999993,,0
AS103,ACESAC,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,7.06,4.02,2.39,43,1.29,2.02,1.41,1.27,1.32,1.29,0.12,0.392876712,0.400000001,0.157150685,0.235726027,0.035182989,0.599999999,0.2464,0.14784
AS104,ACESAC,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.96,4.17,10.24,58,1.29,3.16,1.61,1.31,1.41,1.32,0.32,1.752299465,0.1,0.175229947,1.577069519,0.340374716,0.9,0.279,0.2511
AS105,ACESAC,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,6.29,4.2,0.05,88,1.31,1.36,1.32,1.29,1.29,1.3,0.01,0.01,1,,,0,0,,0
AS106,ACESAC,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.05,4.1,5.12,56,1.28,2.03,1.41,1.3,1.37,1.29,0.13,0.887466667,-0.142857142,-0.126780952,1.014247619,0.282717106,1.142857142,0.8224,0.939885714
AS107,ACESAC,19-Dec-17,,,,,7.03,4.04,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
AS108,ACESAC,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.01,4.02,6.54,28,1.29,4.36,1.73,1.28,1.38,1.3,0.44,0.93732899,0.2,0.187465798,0.749863192,0.149226506,0.8,0.4188,0.33504
AS109,ACESAC,19-Dec-17,,,,,6.78,4.15,,,,,,,,,0,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!
AS11,ACESAC,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.54,4.05,9.97,48,1.28,3.55,1.62,1.29,1.4,1.3,0.34,1.493303965,0.090909091,0.135754906,1.357549059,0.304724817,0.909090909,0.2594,0.235818182
AS110,ACESAC,19-Dec-17,15-Jan-19,16-Jan-19,H2,1.0,6.54,4.11,2.55,214,1.3,2.16,1.67,1.31,1.57,1.52,0.37,1.097093023,0.807692307,0.886113596,0.210979428,0.009871768,0.192307693,0.3993,0.076788462
AS111,ACESAC,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.28,4.1,19.82,108,1.28,7.65,2.22,1.28,1.39,1.31,0.94,2.92477237,0.272727272,0.797665192,2.127107179,0.377313912,0.727272728,0.22313,0.162276364
AS112,ACESAC,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,6.57,4.07,16.88,230,1.28,4.38,1.83,1.28,1.36,1.28,0.55,2.99483871,0,0,2.99483871,0.735832607,1,0.191,0.191
AS113,ACESAC,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,7.39,4,4.05,314,1.31,2.08,1.46,1.29,1.35,1.28,0.15,0.788961039,-0.166666666,-0.131493506,0.920454545,0.268465909,1.166666666,0.2483,0.289683333
AS114,ACESAC,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,7.33,4.11,4.15,92,1.3,3.18,1.7,1.29,1.42,1.33,0.4,0.882978723,0.307692308,0.271685761,0.611292962,0.102969056,0.692307692,0.3204,0.221815385
AS115,ACESAC,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.31,4.01,0.7,254,1.29,1.99,1.43,1.28,1.39,1.29,0.14,0.14,0.090909093,0.012727273,0.127272727,0.028853486,0.909090907,0.4583,0.416636363
AS116,ACESAC,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.89,4.04,22.02,99,1.3,5.3,1.7,1.31,1.38,1.31,0.4,2.202,0,0,2.202,0.545049505,1,,0
AS117,ACESAC,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.47,4.11,14.64,112,1.28,3.24,1.47,1.28,1.34,1.29,0.19,1.419183673,0.166666667,0.236530612,1.182653061,0.23979178,0.833333333,0.3698,0.308166667
AS118,ACESAC,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.67,4.08,8.74,213,1.27,3.56,1.79,1.29,1.4,1.32,0.52,1.984628821,0.272727273,0.541262406,1.443366415,0.257284566,0.727272727,0.2243,0.163127273
AS119,ACESAC,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,6.68,4.05,0.82,5,1.29,2.07,1.45,1.28,1.35,1.28,0.16,0.168205128,0,0,0.168205128,0.04153213,1,,0
AS12,ACESAC,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,6.61,4.06,15.02,17A,1.28,5.15,1.85,1.27,1.33,1.32,0.57,2.212248062,0.833333333,1.843540052,0.36870801,0.015135797,0.166666667,0.1617,0.02695
AS120,ACESAC,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.01,4.12,11.72,36,1.26,3.25,2.01,1.3,1.56,1.47,0.75,4.417085427,0.653846154,2.888094318,1.528991109,0.128462658,0.346153846,0.305,0.105576923
AS121,ACESAC,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,6.99,4,15.01,300,1.29,4.29,2.04,1.3,1.34,1.3,0.75,3.7525,0,0,3.7525,0.938125,1,0.1885,0.1885
AS122,ACESAC,19-Dec-17,13-Jun-18,15-Jun-18,H1,0.5,7.49,4.05,12.09,120,1.3,4.39,1.89,1.32,1.4,1.33,0.59,2.308446602,0.125,0.288555825,2.019890777,0.436396156,0.875,0.2372,0.20755
AS123,ACESAC,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,7.42,4.09,14.32,8,1.28,3.96,1.84,1.28,1.34,1.28,0.56,2.992238806,0,0,2.992238806,0.73159873,1,0.2114,0.2114
AS124,ACESAC,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.8,4.24,8.67,307,1.27,3.13,1.72,1.31,1.4,1.33,0.45,2.097580645,0.222222222,0.466129032,1.631451613,0.299270474,0.777777778,0.2319,0.180366667
AS125,ACESAC,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.79,4.04,1.13,104,1.28,1.53,1.43,1.26,1.32,1.3,0.15,0.678,0.666666667,0.452,0.226,0.018646865,0.333333333,0.1762,0.058733333
AS126,ACESAC,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.97,4.06,1.54,204,1.28,2,1.44,1.29,1.35,1.29,0.16,0.342222222,0,0,0.342222222,0.084291188,1,0.1956,0.1956
AS127,ACESAC,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,7.18,4.09,7.74,305,1.28,2.92,1.5,1.29,1.36,1.29,0.22,1.038292683,0,0,1.038292683,0.253861292,1,0.2354,0.2354
AS128,ACESAC,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.92,4.04,25.34,88,1.3,4.07,1.63,1.28,1.31,1.29,0.33,3.018844765,0.333333333,1.006281588,2.012563177,0.332106135,0.666666667,0.3185,0.212333333
AS129,ACESAC,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.47,4.09,5.63,1,1.28,2.07,1.43,1.3,1.39,1.31,0.15,1.068987342,0.111111112,0.118776371,0.95021097,0.206511485,0.888888888,0.1974,0.175466667
AS13,ACESAC,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,7.07,4.01,2.49,36,1.28,2.09,1.47,1.29,1.43,1.31,0.19,0.584074074,0.142857142,0.083439153,0.500634921,0.107011383,0.857142858,0.3049,0.261342857
AS130,ACESAC,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.58,4.03,20.67,218,1.28,4.14,1.71,1.31,1.36,1.31,0.43,3.107727273,0,0,3.107727273,0.771148207,1,0.2516,0.2516
AS131,ACESAC,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.84,4.09,10.13,32,1.28,2.9,1.41,1.3,1.35,1.31,0.13,0.812901235,0.2,0.162580247,0.650320988,0.127202149,0.8,0.197,0.1576
