Bag ID,Plot,Ecosystem,Ecotone,TerrType,LumpTrans,Species
AS1,L3/4,BU,Ecotone,T-UB,UB,ACESAC
AS10,K3/4,BU,Ecotone,T-UB,UB,ACESAC
AS100,H3/4,R,R,R,R,ACESAC
AS101,3,RB,Ecotone,RBD,RB,ACESAC
AS102,R4,R,R,R,R,ACESAC
AS103,J5/6,B,B,BR,RB,ACESAC
AS104,H3/4,R,R,R,R,ACESAC
AS105,8,R,R,RU,RU,ACESAC
AS106,7,RB,Ecotone,BR,RB,ACESAC
AS107,20,R,R,RU,RU,ACESAC
AS108,Q5/6,R,R,RU,RU,ACESAC
AS109,P1/2,R,R,RU,RU,ACESAC
AS11,L3/4,BU,Ecotone,T-UB,UB,ACESAC
AS110,D1/2,R,R,R,R,ACESAC
AS111,P1/2,R,R,RU,RU,ACESAC
AS112,S5,R,R,R,R,ACESAC
AS113,K1/2,B,B,BU,UB,ACESAC
AS114,K1/2,B,B,BU,UB,ACESAC
AS115,5,U,U,UF,U,ACESAC
AS116,J5/6,B,B,BR,RB,ACESAC
AS117,R1,R,R,R,R,ACESAC
AS118,P3/4,RU,Ecotone,T-UR,RU,ACESAC
AS119,5,U,U,UF,U,ACESAC
AS12,K3/4,BU,Ecotone,T-UB,UB,ACESAC
AS120,13,U,U,U,U,ACESAC
AS121,G3/4,U,U,U,U,ACESAC
AS122,23,R,R,RU,RU,ACESAC
AS123,A1/2,B,B,BR,RB,ACESAC
AS124,J1/2,R,R,RB,RB,ACESAC
AS125,8,R,R,RU,RU,ACESAC
AS126,B1/2,B,B,B,B,ACESAC
AS127,18,U,U,U,U,ACESAC
AS128,E5/6,U,U,U,U,ACESAC
AS129,J3/4,RB,Ecotone,T-RB,RB,ACESAC
AS13,P5/6,U,U,UR,RU,ACESAC
AS130,10,UD,Ecotone,T-UD,U,ACESAC
AS131,I6,B,B,BR,RB,ACESAC
AS132,I6,B,B,BR,RB,ACESAC
AS133,18,U,U,U,U,ACESAC
AS134,22,U,U,U,U,ACESAC
AS135,I1/2,R,R,RB,RB,ACESAC
AS136,J5/6,B,B,BR,RB,ACESAC
AS137,B5/6,B,B,B,B,ACESAC
AS138,H5/6,R,R,R,R,ACESAC
AS139,J1/2,R,R,RB,RB,ACESAC
AS14,E1/2,U,U,U,U,ACESAC
AS140,22,U,U,U,U,ACESAC
AS141,J1/2,R,R,RB,RB,ACESAC
AS142,21,U,U,U,U,ACESAC
AS143,I1/2,R,R,RB,RB,ACESAC
AS144,15,UDR,Ecotone,T-UR,RU,ACESAC
AS145,20,R,R,RU,RU,ACESAC
AS146,15,UDR,Ecotone,T-UR,RU,ACESAC
AS147,K1/2,B,B,BU,UB,ACESAC
AS148,21,U,U,U,U,ACESAC
AS149,G5/6,U,U,U,U,ACESAC
AS15,G3/4,U,U,U,U,ACESAC
AS150,21,U,U,U,U,ACESAC
AS151,E5/6,U,U,U,U,ACESAC
AS152,14,U,U,U,U,ACESAC
AS153,Q3/4,RU,Ecotone,T-UR,RU,ACESAC
AS154,17,U,U,U,U,ACESAC
AS155,I3/4,RB,Ecotone,T-RB,RB,ACESAC
AS156,3,RB,Ecotone,RBD,RB,ACESAC
AS157,4,R,R,RU,RU,ACESAC
AS158,A5/6,B,B,B,B,ACESAC
AS159,E1/2,U,U,U,U,ACESAC
AS16,15,UDR,Ecotone,T-UR,RU,ACESAC
AS160,E5/6,U,U,U,U,ACESAC
AS161,I3/4,RB,Ecotone,T-RB,RB,ACESAC
AS162,H1/2,R,R,R,R,ACESAC
AS163,E3/4,U,U,U,U,ACESAC
AS164,H5/6,R,R,R,R,ACESAC
AS165,E3/4,U,U,U,U,ACESAC
AS166,B3/4,B,B,B,B,ACESAC
AS167,I1/2,R,R,RB,RB,ACESAC
AS168,23,R,R,RU,RU,ACESAC
AS169,14,U,U,U,U,ACESAC
AS17,L1/2,B,B,BU,UB,ACESAC
AS170,A5/6,B,B,B,B,ACESAC
AS171,12,R,R,RU,RU,ACESAC
AS172,8,R,R,RU,RU,ACESAC
AS173,10,UD,Ecotone,T-UD,U,ACESAC
AS174,L1/2,B,B,BU,UB,ACESAC
AS175,J3/4,RB,Ecotone,T-RB,RB,ACESAC
AS176,G3/4,U,U,U,U,ACESAC
AS177,P3/4,RU,Ecotone,T-UR,RU,ACESAC
AS178,22,U,U,U,U,ACESAC
AS179,1,B,B,B,B,ACESAC
AS18,E1/2,U,U,U,U,ACESAC
AS180,D1/2,R,R,R,R,ACESAC
AS181,G1/2,U,U,U,U,ACESAC
AS183,G1/2,U,U,U,U,ACESAC
AS184,P3/4,RU,Ecotone,T-UR,RU,ACESAC
AS184,E3/4,U,U,U,U,ACESAC
AS185,R2,R,R,R,R,ACESAC
AS186,11,BU,Ecotone,BUR,BUR,ACESAC
AS187,6,B,B,B,B,ACESAC
AS188,B1/2,B,B,B,B,ACESAC
AS189,G1/2,U,U,U,U,ACESAC
AS19,K5/6,U,U,UB,UB,ACESAC
AS190,12,R,R,RU,RU,ACESAC
AS191,A3/4,B,B,B,B,ACESAC
AS192,A5/6,B,B,B,B,ACESAC
AS193,A3/4,B,B,B,B,ACESAC
AS194,23,R,R,RU,RU,ACESAC
AS195,20,R,R,RU,RU,ACESAC
AS196,18,U,U,U,U,ACESAC
AS197,Q5/6,R,R,RU,RU,ACESAC
AS198,H1/2,R,R,R,R,ACESAC
AS199,I6,B,B,BR,RB,ACESAC
AS2,L5/6,U,U,UB,UB,ACESAC
AS20,K5/6,U,U,UB,UB,ACESAC
AS200,A1/2,B,B,BR,RB,ACESAC
AS201,A1/2,B,B,BR,RB,ACESAC
AS202,1,B,B,B,B,ACESAC
AS203,B3/4,B,B,B,B,ACESAC
AS204,7,RB,Ecotone,BR,RB,ACESAC
AS21,P1/2,R,R,RU,RU,ACESAC
AS22,G5/6,U,U,U,U,ACESAC
AS23,L5/6,U,U,UB,UB,ACESAC
AS24,L5/6,U,U,UB,UB,ACESAC
AS25,Q1/2,U,U,UR,RU,ACESAC
AS26,13,U,U,U,U,ACESAC
AS27,24,R,R,R,R,ACESAC
AS28,L1/2,B,B,BU,UB,ACESAC
AS29,S5,R,R,R,R,ACESAC
AS3,P5/6,U,U,UR,RU,ACESAC
AS30,B5/6,B,B,B,B,ACESAC
AS31,P5/6,U,U,UR,RU,ACESAC
AS32,S1,R,R,R,R,ACESAC
AS33,3,RB,Ecotone,RBD,RB,ACESAC
AS34,D5/6,R,R,R,R,ACESAC
AS35,17,U,U,U,U,ACESAC
AS36,S5,R,R,R,R,ACESAC
AS37,D5/6,R,R,R,R,ACESAC
AS38,R5,R,R,R,R,ACESAC
