"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"phos","CO25","3.31738437001595","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,2229.70703778971
"phos","QR147","1.7961842717543","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,2111.80279558662
"phos","AS74","8.57875457875458","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,5510.97725489327
"bglu","CO25","6.72316384180791","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,4518.82690163525
"bglu","QR147","3.22358722358722","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,3790.02345006617
"bglu","AS74","11.4364832121841","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,7346.77723668662
"lap","CO25","-0.000713063320022818","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,-0.479269848081224
"lap","QR147","0.0571854798607658","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,67.233890272839
"lap","AS74","-0.0349301397205589","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,-22.4390619574281
"nag","CO25","1.97934595524957","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,1330.37390738636
"nag","QR147","0.697440778341794","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,819.992363044021
"nag","AS74","2.79900332225914","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,1798.07494243298
"bxyl","CO25","0.235472541507024","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,158.267696607589
"bxyl","QR147","0.0953389830508475","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,112.091578854837
"bxyl","AS74","0.319645006016847","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,205.339404645237
"bcell","CO25","1.40825914935707","CO25",4.24,7.25877551,"0.529411765","0.470588235",0.3952,"0.185976471",125,946.530454756471
"bcell","QR147","0.255313634007258","QR147",3.97,7.593258427,"0.545454545","0.454545455",0.2339,"0.106318182",125,300.176354133926
"bcell","AS74","2.46101209420751","AS74",3.97,2.8375,"0.166666667","0.833333333",0.2335,"0.194583333",125,1580.94995616063
"phos","QR159","3.08145439772496","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,2793.87184804881
"phos","AS171","6.40428929956651","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,3134.44073001493
"phos","CO176","2.15498302376673","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,676.227268765044
"bglu","QR159","2.4979674796748","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,2264.83994829113
"bglu","AS171","10.4338698390483","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,5106.63167533687
"bglu","CO176","6.06625258799172","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,1903.57203466331
"lap","QR159","0.0277578796561605","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,25.1673231283677
"lap","AS171","0.0379022277227723","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,18.5504246881227
"lap","CO176","0.0465171755725191","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,14.5969514567618
"nag","QR159","1.21769601401664","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,1104.05223441051
"nag","AS171","3.84050632911392","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,1879.65266695082
"nag","CO176","1.87089023773394","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,587.079796763612
"bxyl","QR159","0.0553256567110471","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,50.1622853396527
"bxyl","AS171","0.297642056436026","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,145.674459884508
"bxyl","CO176","0.409343615494978","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,128.450810071226
"bcell","QR159","0.329376854599407","QR159",4.04,5.267625899,"0.111111111","0.888888889",0.1551,"0.137866667",125,298.637137756626
"bcell","AS171","2.70614576899321","AS171",4.03,2.635897436,"0","1",0.2554,"0.2554",125,1324.46445232636
"bcell","CO176","1.73733604703754","CO176",2.1,0.31,"0.066666668","0.933333332",0.4268,"0.398346666",125,545.170888614121
"phos","QR115","2.46525679758308","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,3519.78411990731
"phos","CO54","1.22001888574127","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,1497.193416622
"phos","AS172","2.38956995524421","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,1433.15828561217
"bglu","QR115","4.11300121506683","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,5872.36038701718
"bglu","CO54","3.63459037711313","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,4460.32831813512
"bglu","AS172","4.53194953194953","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,2718.0627239791
"lap","QR115","-0.0116171003717472","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,-16.5863797426431
"lap","CO54","-0.0467289719626168","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,-57.345267360706
"lap","AS172","0.00910983862571577","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,5.46367796363597
"nag","QR115","1.29170755642787","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,1844.24265623625
"nag","CO54","1.20288692862871","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,1476.16927207591
"nag","AS172","2.35639360639361","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,1413.26058011197
"bxyl","QR115","0.182069311903566","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,259.950473877164
"bxyl","CO54","0.0775033156498674","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,95.1111948458528
"bxyl","AS172","0.180185025817556","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,108.067002653322
"bcell","QR115","0.796679909194098","QR115",5.24,7.833265823,"0.75","0.25",0.3502,"0.08755",125,1137.46417646216
"bcell","CO54","0.661163522012579","CO54",3.93,8.543056604,"0.647058824","0.352941176",0.2886,"0.101858824",125,811.372417293689
"bcell","AS172","1.12391930835735","AS172",4.25,2.990340136,"0.454545454","0.545454546",0.3821,"0.208418182",125,674.077051227079
"phos","AS66","5.544","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,16359.7733711048
"phos","AS37","4.32959243945658","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,1684.40415478392
"phos","QR127","4.15018832391714","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,4273.25815889327
"bglu","AS66","5.00242600679282","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,14761.6442598938
"bglu","AS37","6.80916030534351","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,2649.06641197616
"bglu","QR127","6.59214674691889","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,6787.63050547662
"lap","AS66","0.109120521172638","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,322.003426500938
"lap","AS37","0.144716885743175","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,56.3013094238932
"lap","QR127","0.0983424047501237","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,101.258653984888
"nag","AS66","2.21920289855072","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,6548.6393370831
"nag","AS37","1.65026595744681","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,642.026905324778
"nag","QR127","1.19750807568066","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,1233.01902355916
"bxyl","AS66","0.174234424498416","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,514.147853217705
"bxyl","AS37","0.142005610098177","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,55.2465025280801
"bxyl","QR127","0.0711116910229645","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,73.220439685919
"bcell","AS66","1.10348664688427","AS66",7.1,11.77718696,"0.866666667","0.133333333",0.3177,"0.04236",125,3256.27551606548
"bcell","AS37","1.22671919770774","AS37",3.99,3.392397004,"0","1",0.3213,"0.3213",125,477.248365121281
"bcell","QR127","0.457892314772204","QR127",4.1,7.56,"0.6","0.4",0.3035,"0.1214",125,471.470670070227
"phos","QR124","3.66776315789474","QR124",4.82,7.776101695,"0.4","0.6",0.3118,"0.18708",125,2450.66492803529
"phos","AS94","10.2174588381485","AS94",4.19,4.68,"0.625","0.375",0.3488,"0.1308",125,9764.39109150277
"phos","QR120","7.6950998185118","QR120",5.41,7.068567961,"0.4","0.6",0.3175,"0.1905",125,5049.27809613635
"bglu","QR124","4.08209570957096","QR124",4.82,7.776101695,"0.4","0.6",0.3118,"0.18708",125,2727.50675484483
"bglu","AS94","8.3288104929896","AS94",4.19,4.68,"0.625","0.375",0.3488,"0.1308",125,7959.49015002829
"bglu","QR120","5.60735266249763","QR120",5.41,7.068567961,"0.4","0.6",0.3175,"0.1905",125,3679.36526410606
"lap","QR124","0.0487012987012987","QR124",4.82,7.776101695,"0.4","0.6",0.3118,"0.18708",125,32.5404230150863
"lap","AS94","0.0125628140703518","AS94",4.19,4.68,"0.625","0.375",0.3488,"0.1308",125,12.0057473913912
"lap","QR120","0.043040293040293","QR120",5.41,7.068567961,"0.4","0.6",0.3175,"0.1905",125,28.2416620999298
"nag","QR124","1.84099437148218","QR124",4.82,7.776101695,"0.4","0.6",0.3118,"0.18708",125,1230.08497132389
"nag","AS94","5.30042164441321","AS94",4.19,4.68,"0.625","0.375",0.3488,"0.1308",125,5065.38765712272
"nag","QR120","2.95475966069746","QR120",5.41,7.068567961,"0.4","0.6",0.3175,"0.1905",125,1938.81867499833
