Sample,bcell,bglu,bxyl,lap,nag,phos
AS1,1165.782659,4007.414078,141.307203,7.12288388,1282.843084,3248.523862
AS100,777.6919955,2463.088342,112.9118737,16.55788216,804.9337369,1681.889587
AS101,0,2836.656527,164.3318592,67.89052579,1141.959358,3179.114056
AS103,115.9165096,1157.27873,105.3079511,62.56884684,648.7781002,2172.785574
AS104,992.1078982,3116.120274,181.8806849,17.01612387,788.8460044,1729.209241
AS108,428.1253225,920.1281721,74.66651965,-12.78813461,452.1032275,1144.442569
AS11,294.6409307,1864.992099,96.44980475,17.21004515,2836.833673,2457.51291
AS111,1935.56387,6304.658497,272.3434648,0,,5077.979972
AS112,1486.199996,5335.701769,182.7125369,16.19493023,1828.311706,4518.880629
AS113,258.7141437,872.9310057,75.43010177,104.4369828,692.4473748,1944.982714
AS114,1604.04043,5845.789077,254.195211,113.9535924,4003.375683,2082.218227
AS115,442.0843176,2084.69268,83.69707431,12.50090918,1500.373019,1717.033376
AS117,777.8426136,3123.897756,111.0868564,29.82534276,2129.797477,12543.62034
AS118,1432.376293,4769.18772,301.3235706,40.10664535,2937.549987,3000.972538
AS12,6588.687743,44445.49485,901.085476,277.6872723,7559.942367,
AS123,912.8551789,4815.015094,158.2819445,-37.38501595,1981.627781,3517.010099
AS124,1593.848148,3354.657195,209.2781702,25.31490345,1784.256421,
AS126,446.3397649,1874.727627,90.8361888,31.90738326,142.9526205,1861.774262
AS127,635.4589767,1814.599017,130.6394756,21.41173569,725.8908076,1960.599787
AS128,467.3232229,3153.78865,112.0281639,28.88034822,650.0272752,2519.144426
AS129,518.8956096,1570.626607,127.122329,-139.4692942,1340.319472,2916.958838
AS13,304.8529052,1383.466699,65.75898913,7.117543096,485.2275249,1317.289578
AS130,1048.862882,5290.020022,199.8735804,46.81531914,1807.643079,3026.373124
AS131,195.9811415,1332.598449,43.72804375,0.873510141,285.719387,342.6056365
AS132,1455.23836,4713.211074,200.5619335,61.81571672,1468.687424,6749.180591
AS133,2335.115543,9790.30113,298.7231002,62.15751211,2317.590163,10778.82874
AS134,1025.5351,4371.545818,179.4584661,95.70300429,2331.076615,5609.193406
AS138,379.4814311,3750.646259,231.5759466,33.42813033,1232.499857,3448.863307
AS14,1791.270178,6771.63691,258.0524745,8.428515388,2310.059421,7477.955702
AS140,1142.070748,2611.912123,293.0179906,41.36814151,1762.107893,2392.229132
AS141,991.8781892,2990.272982,105.7689133,11.72110111,1390.618726,2091.976786
AS143,918.0456429,3533.33184,149.4733387,-0.367711776,1168.357914,11395.76534
AS144,187.8220662,1308.566599,61.26311399,-0.694710802,491.9085515,654.4219512
AS145,416.3021151,1239.063858,72.18598977,53.55310613,807.6692875,2328.204868
AS146,1462.106117,5223.90492,206.5492104,6.982241646,2421.184674,3598.251337
AS147,-328.4291046,4475.998875,212.1934482,5.935732636,1250.262922,3516.908757
AS148,223.3181951,1120.849263,108.6989294,38.40223936,658.6089344,1439.052863
AS15,,1061.130355,24.91565581,29.11948868,443.1530069,626.7780918
AS151,0,8849.130465,240.2254736,160.0048638,1895.087037,5235.642034
AS152,217.1280699,1137.373788,94.02333928,18.50407688,329.0304919,1675.04592
AS153,5245.969983,22679.81696,1044.550874,279.6033668,6055.639208,17056.78
AS154,505.9868768,1806.093115,131.4446049,57.29613577,765.4075076,3718.837441
AS155,82.41916132,725.9034998,30.85093,15.26221939,314.2284733,963.4510133
AS156,6249.097722,32949.71235,951.0440918,323.0851195,5757.560521,30378.4863
AS157,463.4651623,2335.581124,147.7579691,35.27561284,1662.983003,2718.320121
AS158,363.2043156,2334.529298,97.52402599,-1.648076512,698.7507904,1948.567118
AS159,250.949333,1459.180913,61.90376527,-36.68195541,623.490839,1683.190016
AS16,1504.824382,7068.579584,189.07911,-137.8756853,3881.630642,9747.774593
AS160,251.3156003,768.9754811,47.78386253,-12.07351115,201.0287956,647.5610262
AS162,,963.716239,23.52195317,30.68051788,440.0989628,707.5341627
AS163,1449.116731,5564.956339,175.1193876,-8.387812785,1750.572406,4658.093351
AS164,1198.753346,4983.217792,245.6600882,36.13158761,624.4682984,1672.451901
AS165,239.7034671,1016.621323,91.95829302,13.4668897,376.9809244,1072.922471
AS166,479.54978,4671.797815,104.7173947,68.87749848,1300.363563,2945.016264
AS167,456.7736185,3391.069292,194.3662992,25.73175343,843.4405708,2687.190127
AS168,330.1472075,1268.305415,58.70845268,33.08840452,640.3057592,766.2915853
AS170,1365.904712,5657.509397,211.6036855,23.55110216,1836.622267,4323.362762
AS171,1324.464452,5106.631675,145.6744599,18.55042469,1879.652667,3134.44073
AS172,674.0770512,2718.062724,108.0670027,5.463677964,1413.26058,1433.158286
AS173,181.5994342,1213.026962,70.48835563,19.50087204,763.5725651,549.7032099
AS174,317.527411,1045.12547,36.63365634,11.42469697,235.1622272,573.4202685
AS175,3449.147956,12933.27661,449.8772432,24.43390124,3810.322375,9230.38988
AS176,854.0373608,3997.677363,131.9050672,12.83570406,1327.845375,3174.229884
AS177,381.7693858,1650.556164,71.27398626,-19.14652453,642.7645034,1570.320835
AS178,2485.461022,7969.014478,260.6726224,25.82686698,3211.138273,8498.034539
AS18,394.49163,1466.11011,72.0639574,-5.400542647,593.6704411,1199.986443
AS180,,3718.054595,327.5004085,25.71051802,1207.603418,756.1600332
AS182,487.6255515,1453.333952,61.93041811,42.02854198,605.2259903,1990.505907
AS183,518.156989,2106.011292,100.752707,48.23255821,447.9883507,1666.533931
AS184,3448.347975,13844.32023,540.7066442,60.02922009,3308.587715,6079.25588
AS185,1812.768401,9304.111624,337.449605,-172.972183,,7393.083308
AS187,3916.206078,9825.742033,414.7294109,47.17533099,4979.063606,4152.152584
AS188,1602.40938,9710.126751,327.751546,46.50680076,1545.960541,6859.667876
AS19,216.013065,1437.257757,43.20153749,34.52755259,6624.931138,1383.154634
AS190,52.16791069,601.8560679,31.17073735,27.25692544,192.267675,183.4654364
AS191,347.476357,1305.931684,92.24144858,13.44343465,356.83919,2644.531759
AS194,1045.726371,2103.276553,90.09090067,22.92805048,418.7247903,1018.138632
AS195,2423.624192,8585.990789,454.0985725,77.11876297,4349.691205,5790.385076
AS196,126.3517175,1162.896952,63.75584794,21.20259008,436.7456521,2438.876586
AS197,,13797.02613,636.9710751,-19.49455356,3406.257112,10449.25813
AS198,833.109084,3443.031127,151.6456125,-8.539509265,2563.232676,3786.209424
AS20,1866.080935,5882.343014,274.3254733,42.05803034,1866.617826,7710.043894
AS200,663.4916409,3402.994744,218.7708412,35.37417615,1498.832803,3366.046117
AS201,183.0582295,878.5908489,47.78606954,12.10409327,379.4621477,1041.290715
AS204,1939.462242,14814.9364,341.3121439,-15.96932316,2778.443614,10825.72701
