Plot,ecosys,Transect,EP,TerrType,LumpedTrans
1,B,Grid,Core,B,B
2,B,Grid,Edge,BU,UB
3,R,Grid,Edge,RBD,R
4,R,Grid,Edge,RU,UR
5,U,Grid,Edge,UF,U
6,B,Grid,Core,B,B
7,B,Grid,Edge,BR,RB
8,R,Grid,Edge,RU,UR
9,U,Grid,Core,U,U
10,UD,Grid,Trans,T-UD,UD
11,B,Grid,Edge,BUR,B
12,R,Grid,Edge,RU,UR
13,U,Grid,Core,U,U
14,U,Grid,Core,U,U
15,UR,Grid,Trans,T-UR,UR
16,R,Grid,Edge,RU,UR
17,U,Grid,Core,U,U
18,U,Grid,Core,U,U
19,R,Grid,Edge,RU,UR
20,R,Grid,Edge,RU,UR
21,U,Grid,Core,U,U
22,U,Grid,Core,U,U
23,R,Grid,Edge,RU,UR
24,R,Grid,Core,R,R
25,S,Grid,Core,S,S
26,S,Grid,Core,S,S
27,S,Grid,Core,S,S
28,S,Grid,Core,S,S
30,S,Grid,Core,S,S
A1/2,B,A,Edge,BR,RB
A3/4,B,A,Core,B,B
A5/6,B,A,Core,B,B
B1/2,B,B,Core,B,B
B3/4,B,B,Core,B,B
B5/6,B,B,Core,B,B
C1/2,D,C,Core,D,D
C3/4,D,C,Core,D,D
C5/6,D,C,Core,D,D
D1/2,R,D,Core,R,R
D3/4,R,D,Core,R,R
D5/6,R,D,Core,R,R
E1/2,U,E,Core,U,U
E3/4,U,E,Core,U,U
E5/6,U,E,Core,U,U
F1/2,D,F,Core,D,D
F3/4,D,F,Core,D,D
F5/6,D,F,Core,D,D
G1/2,U,G,Core,U,U
G3/4,U,G,Core,U,U
G5/6,U,G,Core,U,U
H1/2,R,H,Core,R,R
H3/4,R,H,Core,R,R
H5/6,R,H,Core,R,R
I1/2,R,I,Edge,RB,RB
I3/4/5,RB,I,Trans,T-RB,RB
I6,B,I,Edge,BR,RB
J1/2,R,J,Edge,RB,RB
J3/4,RB,J,Trans,T-RB,RB
J5/6,B,J,Edge,BR,B
K1/2,B,K,Edge,BU,UB
K3/4,UB,K,Trans,T-UB,UB
K5/6,U,K,Edge,UB,UB
L1/2,B,L,Edge,BU,UB
L3/4,UB,L,Trans,T-UB,UB
L5/6,U,L,Edge,UB,UB
M1,B,M,Edge,B,B
M2/3,BD,M,Trans,T-BD,BD
M4,D,M,Core,D,D
M5/6,RD,M,Trans,T-RD,RD
M7,R,M,Edge,RD,R
N1,U,N,Edge,UD,U
N2/3,UD,N,Trans,T-UD,UD
N4,UD,N,Trans,D,UD
N5/6,U,N,Edge,T-UD,U
N7,R,P,Edge,UD,R
P1/2,RU,P,Trans,RU,UR
P3/4,U,P,Edge,T-UR,UR
P5/6,U,Q,Edge,UR,UR
Q1/2,RU,Q,Trans,UR,UR
Q3/4,R,Q,Edge,T-UR,UR
Q5/6,R,R,Core,RU,UR
R1,R,R,Core,R,R
R2,S,R,Core,R,R
R4,R,R,Core,S,R
R5,R,R,Core,R,R
S1,R,S,Core,R,R
S2,R,S,Core,R,R
S4,R,S,Core,R,R
S5,R,S,Core,R,R
T1/2,S,T,Core,R,S
T3/4,S,T,Core,S,S
T5/6,S,T,Core,S,S
U1/2,S,U,Core,S,S
U3/4,S,U,Core,S,S
U5/6,S,U,Core,S,S
